pregunta,respuesta_esperada
"hola","¡Hola! Soy Mister Biblio, tu asistente virtual. ¿Qué deseas hacer? 1️⃣ Buscar un libro (puedo recomendarte similares) 2️⃣ Consultar servicios de la biblioteca 3️⃣ Preguntar sobre los encargados o dudas generales"
"buenos días","¡Hola! Soy Mister Biblio, tu asistente virtual. ¿Qué deseas hacer? 1️⃣ Buscar un libro (puedo recomendarte similares) 2️⃣ Consultar servicios de la biblioteca 3️⃣ Preguntar sobre los encargados o dudas generales"
"¿dónde están los libros nuevos?","Los libros nuevos se encuentran en la zona F2. A la derecha de la sección ESTE, hay una fila especialmente dedicada a ellos."
"¿cuál es el horario de la biblioteca?","La biblioteca está abierta de lunes a viernes de 8:00 a 20:00, y los sábados de 9:00 a 14:00."
"¿qué servicios ofrece la biblioteca?","En nuestra biblioteca ofrecemos los siguientes servicios: 1. Préstamo de libros 2. Sala de lectura 3. Acceso a internet 4. Área de estudio 5. Consulta de material bibliográfico 6. Servicio de fotocopias 7. Asesoría en búsqueda de información"
"buscar libro","Por favor, dime el título, autor o materia del libro que buscas."
"busco un libro de filosofía","He encontrado estos libros que podrían interesarte: Problemas fundamentales de la filosofía por Georg Simmel, La libertad creadora por Alejandro Korn"
"¿me puedes recomendar libros similares a Problemas fundamentales de la filosofía?","Basado en 'Problemas fundamentales de la filosofía', te sugiero estos libros similares: La libertad creadora por Alejandro Korn, Las grandes culturas y su filosofía comparada por Dolores Riesco Díaz"
"¿de qué trata el libro La libertad creadora?","El libro 'La libertad creadora' de Alejandro Korn trata sobre la libertad humana y su relación con la creatividad. Está disponible en E1, B - ESTE, FILA 2, DERECHA."
"¿dónde puedo encontrar libros de psicología?","Los libros de psicología se encuentran en la sección E1, B - ESTE, FILA 1, IZQUIERDA."
"¿cómo me registro en la biblioteca?","Para registrarte en la biblioteca, necesitas presentar tu carné de estudiante y un comprobante de domicilio en la recepción."
"¿cuántos libros puedo prestar?","Puedes prestar hasta 3 libros por un período de 15 días. Necesitas tu carné de estudiante."
"¿tienen computadoras disponibles?","Sí, contamos con computadoras disponibles para investigación y estudio en la sala de cómputo."
"¿puedo usar internet?","Sí, ofrecemos acceso a internet en la sala de cómputo. Necesitas tu carné de estudiante para acceder."
"¿hay área de estudio grupal?","Sí, contamos con áreas de estudio individual y grupal. Las salas grupales deben reservarse con anticipación."
"¿cómo puedo reservar una sala de estudio?","Para reservar una sala de estudio, debes acudir a la recepción con al menos 24 horas de anticipación y presentar tu carné de estudiante."
"¿tienen servicio de fotocopias?","Sí, ofrecemos servicio de fotocopias en la recepción. El costo es de $0.50 por página."
"¿quién es el encargado de la biblioteca?","El encargado de la biblioteca es el Lic. Juan Pérez. Puedes encontrarlo en la recepción de lunes a viernes de 8:00 a 16:00."
"¿cómo te llamas?","Mi nombre es Mister Biblio, soy el asistente virtual de la biblioteca. Estoy aquí para ayudarte a encontrar libros, informarte sobre nuestros servicios y responder cualquier pregunta que tengas sobre la biblioteca."
"¿qué puedes hacer?","Puedo ayudarte a: 1. Buscar libros por título, autor o materia 2. Recomendarte libros similares 3. Informarte sobre nuestros servicios 4. Responder preguntas sobre la biblioteca 5. Guiarte en el uso de nuestros recursos"
"¿dónde está la sala de lectura?","La sala de lectura se encuentra en el primer piso, a la derecha de la entrada principal."
"¿tienen libros en inglés?","Sí, contamos con una sección de libros en inglés en la zona F1, a la izquierda de la sección ESTE."
"¿puedo renovar un préstamo?","Sí, puedes renovar tus préstamos hasta 2 veces, siempre que no haya reservas pendientes. La renovación puede hacerse en persona o por teléfono."
"¿tienen libros digitales?","Sí, ofrecemos acceso a libros digitales a través de nuestra plataforma en línea. Necesitas tu carné de estudiante para acceder."
"¿cómo puedo hacer una sugerencia?","Puedes hacer sugerencias en el buzón de sugerencias ubicado en la recepción o a través de nuestro formulario en línea."
"¿tienen libros de texto?","Sí, contamos con una sección de libros de texto en la zona E2, a la derecha de la sección ESTE."
"¿puedo usar mi laptop?","Sí, puedes usar tu laptop en las áreas de estudio. Contamos con conexión WiFi gratuita para estudiantes."
"¿tienen impresora?","Sí, ofrecemos servicio de impresión en la sala de cómputo. El costo es de $1.00 por página en blanco y negro, $2.00 a color."
"¿dónde puedo estudiar en grupo?","Puedes estudiar en grupo en las salas de estudio ubicadas en el segundo piso. Estas salas deben reservarse con anticipación en la recepción."
"¿tienen libros de referencia?","Sí, contamos con una sección de libros de referencia en la zona E3. Estos libros son de consulta en sala y no pueden prestarse."
"¿cómo puedo acceder a las bases de datos?","Para acceder a las bases de datos, necesitas tu carné de estudiante. Las instrucciones de acceso están disponibles en la recepción."
"¿tienen libros de arte?","Sí, contamos con una sección de libros de arte en la zona F3, a la izquierda de la sección ESTE."
"¿puedo donar libros?","Sí, aceptamos donaciones de libros en buen estado. Puedes entregarlos en la recepción."
"¿tienen libros para niños?","Sí, contamos con una sección infantil en la zona G1, a la derecha de la entrada principal."
"¿cómo puedo reportar un libro dañado?","Puedes reportar libros dañados en la recepción. Por favor, proporciona el código del libro y una descripción del daño."
"¿tienen libros de medicina?","Sí, contamos con una sección de libros de medicina en la zona E4, a la derecha de la sección ESTE."
"¿puedo usar el teléfono en la biblioteca?","Sí, puedes usar el teléfono en las áreas designadas. Por favor, mantén el volumen bajo y respeta a otros usuarios."
"¿tienen libros de historia?","Sí, contamos con una sección de libros de historia en la zona F4, a la izquierda de la sección ESTE."
"¿cómo puedo acceder al catálogo en línea?","Puedes acceder al catálogo en línea a través de nuestra página web. Necesitas tu carné de estudiante para acceder a todas las funciones."
"¿tienen libros de matemáticas?","Sí, contamos con una sección de libros de matemáticas en la zona E5, a la derecha de la sección ESTE."
"¿puedo comer en la biblioteca?","No se permite comer en las áreas de estudio. Hay una cafetería en el primer piso donde puedes comer."
"¿tienen libros de literatura?","Sí, contamos con una extensa sección de literatura en la zona F5, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a las revistas?","Las revistas están disponibles en la zona G2. Puedes consultarlas en sala o prestarlas por 7 días."
"¿tienen libros de ciencias?","Sí, contamos con una sección de libros de ciencias en la zona E6, a la derecha de la sección ESTE."
"¿puedo usar audífonos?","Sí, puedes usar audífonos en las áreas de estudio. Por favor, mantén el volumen a un nivel que no moleste a otros usuarios."
"¿tienen libros de economía?","Sí, contamos con una sección de libros de economía en la zona F6, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los recursos electrónicos?","Puedes acceder a los recursos electrónicos a través de nuestra página web. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de derecho?","Sí, contamos con una sección de libros de derecho en la zona E7, a la derecha de la sección ESTE."
"¿puedo usar el proyector?","Sí, contamos con proyectores disponibles en las salas de estudio grupal. Debes reservar la sala con anticipación."
"¿tienen libros de sociología?","Sí, contamos con una sección de libros de sociología en la zona F7, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a las tesis?","Las tesis están disponibles en la zona G3. Puedes consultarlas en sala o solicitar una copia digital."
"¿tienen libros de ingeniería?","Sí, contamos con una sección de libros de ingeniería en la zona E8, a la derecha de la sección ESTE."
"¿puedo usar el escáner?","Sí, contamos con escáneres disponibles en la sala de cómputo. El servicio es gratuito para estudiantes."
"¿tienen libros de arquitectura?","Sí, contamos con una sección de libros de arquitectura en la zona F8, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los mapas?","Los mapas están disponibles en la zona G4. Puedes consultarlos en sala o solicitar una copia."
"¿tienen libros de música?","Sí, contamos con una sección de libros de música en la zona E9, a la derecha de la sección ESTE."
"¿puedo usar el piano?","Sí, contamos con un piano en la sala de música. Debes reservar la sala con anticipación."
"¿tienen libros de teatro?","Sí, contamos con una sección de libros de teatro en la zona F9, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a las partituras?","Las partituras están disponibles en la zona G5. Puedes consultarlas en sala o prestarlas por 7 días."
"¿tienen libros de danza?","Sí, contamos con una sección de libros de danza en la zona E10, a la derecha de la sección ESTE."
"¿puedo usar el estudio de grabación?","Sí, contamos con un estudio de grabación. Debes reservarlo con anticipación y tener un proyecto aprobado."
"¿tienen libros de cine?","Sí, contamos con una sección de libros de cine en la zona F10, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a las películas?","Las películas están disponibles en la zona G6. Puedes verlas en sala o prestarlas por 3 días."
"¿tienen libros de fotografía?","Sí, contamos con una sección de libros de fotografía en la zona E11, a la derecha de la sección ESTE."
"¿puedo usar el estudio fotográfico?","Sí, contamos con un estudio fotográfico. Debes reservarlo con anticipación y tener un proyecto aprobado."
"¿tienen libros de diseño?","Sí, contamos con una sección de libros de diseño en la zona F11, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los programas de diseño?","Los programas de diseño están disponibles en las computadoras de la sala de cómputo. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de moda?","Sí, contamos con una sección de libros de moda en la zona E12, a la derecha de la sección ESTE."
"¿puedo usar la sala de costura?","Sí, contamos con una sala de costura. Debes reservarla con anticipación y tener un proyecto aprobado."
"¿tienen libros de gastronomía?","Sí, contamos con una sección de libros de gastronomía en la zona F12, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a la cocina experimental?","La cocina experimental está disponible para proyectos aprobados. Debes reservarla con anticipación."
"¿tienen libros de deportes?","Sí, contamos con una sección de libros de deportes en la zona E13, a la derecha de la sección ESTE."
"¿puedo usar el gimnasio?","Sí, contamos con un gimnasio. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de nutrición?","Sí, contamos con una sección de libros de nutrición en la zona F13, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a la consulta nutricional?","La consulta nutricional está disponible con cita previa. Puedes agendar en la recepción."
"¿tienen libros de psicología?","Sí, contamos con una sección de libros de psicología en la zona E14, a la derecha de la sección ESTE."
"¿puedo usar la sala de terapia?","Sí, contamos con una sala de terapia. Necesitas una cita previa con el psicólogo."
"¿tienen libros de educación?","Sí, contamos con una sección de libros de educación en la zona F14, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a la sala de práctica docente?","La sala de práctica docente está disponible para estudiantes de educación. Debes reservarla con anticipación."
"¿tienen libros de idiomas?","Sí, contamos con una sección de libros de idiomas en la zona E15, a la derecha de la sección ESTE."
"¿puedo usar el laboratorio de idiomas?","Sí, contamos con un laboratorio de idiomas. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de traducción?","Sí, contamos con una sección de libros de traducción en la zona F15, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los programas de traducción?","Los programas de traducción están disponibles en las computadoras de la sala de cómputo. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de periodismo?","Sí, contamos con una sección de libros de periodismo en la zona E16, a la derecha de la sección ESTE."
"¿puedo usar el estudio de radio?","Sí, contamos con un estudio de radio. Debes reservarlo con anticipación y tener un proyecto aprobado."
"¿tienen libros de comunicación?","Sí, contamos con una sección de libros de comunicación en la zona F16, a la izquierda de la sección ESTE."
"¿cómo puedo acceder al estudio de televisión?","El estudio de televisión está disponible para proyectos aprobados. Debes reservarlo con anticipación."
"¿tienen libros de publicidad?","Sí, contamos con una sección de libros de publicidad en la zona E17, a la derecha de la sección ESTE."
"¿puedo usar el estudio de diseño gráfico?","Sí, contamos con un estudio de diseño gráfico. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de marketing?","Sí, contamos con una sección de libros de marketing en la zona F17, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los programas de análisis de mercado?","Los programas de análisis de mercado están disponibles en las computadoras de la sala de cómputo. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de administración?","Sí, contamos con una sección de libros de administración en la zona E18, a la derecha de la sección ESTE."
"¿puedo usar la sala de negocios?","Sí, contamos con una sala de negocios. Debes reservarla con anticipación."
"¿tienen libros de contabilidad?","Sí, contamos con una sección de libros de contabilidad en la zona F18, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los programas contables?","Los programas contables están disponibles en las computadoras de la sala de cómputo. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de finanzas?","Sí, contamos con una sección de libros de finanzas en la zona E19, a la derecha de la sección ESTE."
"¿puedo usar la sala de trading?","Sí, contamos con una sala de trading. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de economía?","Sí, contamos con una sección de libros de economía en la zona F19, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los programas económicos?","Los programas económicos están disponibles en las computadoras de la sala de cómputo. Necesitas tu carné de estudiante para acceder."
"¿tienen libros de política?","Sí, contamos con una sección de libros de política en la zona E20, a la derecha de la sección ESTE."
"¿puedo usar la sala de debates?","Sí, contamos con una sala de debates. Debes reservarla con anticipación."
"¿tienen libros de relaciones internacionales?","Sí, contamos con una sección de libros de relaciones internacionales en la zona F20, a la izquierda de la sección ESTE."
"¿cómo puedo acceder a los programas de simulación diplomática?","Los programas de simulación diplomática están disponibles en las computadoras de la sala de cómputo. Necesitas tu carné de estudiante para acceder." 
