pregunta,pregunta_encontrada,respuesta_esperada,respuesta_chatbot,rouge1,rougeL,tiempo_respuesta
hola,hola,"¡Hola! Soy Mister Biblio, tu asistente virtual. ¿Qué deseas hacer? 1️⃣ Buscar un libro (puedo recomendarte similares) 2️⃣ Consultar servicios de la biblioteca 3️⃣ Preguntar sobre los encargados o dudas generales","¡Hola! Puedes buscar en la siguiente literatura relacionada con el tema de ""Introducción a la Programación"":
1. Aprender a programar en Python, por Mark Lutz (3ª edición)
2. Code Complete, por Steve McConnell",0.208955223880597,0.14925373134328357,
buenos días,buenos días,"¡Hola! Soy Mister Biblio, tu asistente virtual. ¿Qué deseas hacer? 1️⃣ Buscar un libro (puedo recomendarte similares) 2️⃣ Consultar servicios de la biblioteca 3️⃣ Preguntar sobre los encargados o dudas generales",La biblioteca abre de lunes a viernes de 9:00 a 18:30 y sábados de 9:00 a 14:00.,0.11320754716981131,0.07547169811320754,
¿dónde están los libros nuevos?,¿dónde están los libros nuevos?,"Los libros nuevos se encuentran en la zona F2. A la derecha de la sección ESTE, hay una fila especialmente dedicada a ellos.",estan en el estante mas alejado por la puerta al fondo de la biblioteca,0.2105263157894737,0.2105263157894737,
¿cuál es el horario de la biblioteca?,¿cuál es el horario de la biblioteca?,"La biblioteca está abierta de lunes a viernes de 8:00 a 20:00, y los sábados de 9:00 a 14:00.",La biblioteca abre de lunes a viernes de 9:00 a 18:30 y sábados de 9:00 a 14:00.,0.7826086956521738,0.7826086956521738,
¿qué servicios ofrece la biblioteca?,¿qué servicios ofrece la biblioteca?,En nuestra biblioteca ofrecemos los siguientes servicios: 1. Préstamo de libros 2. Sala de lectura 3. Acceso a internet 4. Área de estudio 5. Consulta de material bibliográfico 6. Servicio de fotocopias 7. Asesoría en búsqueda de información,"¡Claro! Si necesitas más información, por favor dímela. Aquí te enlazo con los detalles de cada servicio:
- Préstamo de libros para llevar a casa (Reglas y cómo solicitarlo)
- Sala de lectura con ambiente tranquilo (Horarios y ubicación)
- Acceso a internet para investigación (Cómo acceder y tiempo disponible)
- Área de estudio individual y grupal (Tipos de espacios y disponibilidad)
- Consulta de material bibliográfico (¿Qué tipos de información tienes que buscar?)
- Servicio de fotocopias (Cómo hacer una solicitud y costo)
- Asesoría personalizada en búsqueda de información (Horario y cómo solicitar una sesión)",0.4161073825503355,0.4161073825503355,
buscar libro,buscar libro,"Por favor, dime el título, autor o materia del libro que buscas.","¡Encontremos dos libros relevantes para ti! La libertad creadora de Alejandro Korn y Las cartas de San Francisco Javier por Francisco Javier y José Sola están disponibles en la biblioteca. Por favor, recuerda que los libros se encuentran en E1, B - ESTE, FILA 2, DERECHA y E1, B - ESTE, FILA 3, DERECHA respectivamente.",0.11940298507462686,0.08955223880597016,
busco un libro de filosofía,busco un libro de filosofía,"He encontrado estos libros que podrían interesarte: Problemas fundamentales de la filosofía por Georg Simmel, La libertad creadora por Alejandro Korn","Encontre dos libros de filosofía disponibles: ""Que es la filosofia"" de Francisco Romero y ""Introduccion a la Filosofia"" de Julian Marias. Ambos se encuentran en E1, B - ESTE, FILA 1, IZQUIERDA.",0.2545454545454546,0.18181818181818182,
¿me puedes recomendar libros similares a Problemas fundamentales de la filosofía?,¿me puedes recomendar libros similares a Problemas fundamentales de la filosofía?,"Basado en 'Problemas fundamentales de la filosofía', te sugiero estos libros similares: La libertad creadora por Alejandro Korn, Las grandes culturas y su filosofía comparada por Dolores Riesco Díaz",¿Podrías mencionar el título del libro para el que quieres sugerencias similares?,0.08695652173913043,0.08695652173913043,
¿de qué trata el libro La libertad creadora?,¿de qué trata el libro La libertad creadora?,"El libro 'La libertad creadora' de Alejandro Korn trata sobre la libertad humana y su relación con la creatividad. Está disponible en E1, B - ESTE, FILA 2, DERECHA."," Libro: ""La Libertad Creadora"" por Alejandro Korn (1860-1936)
   Sinopsis: Este trabajo contiene las dos obras centrales de Korn, donde reconstruye una visión del presente a partir de la singular fusión entre romanticismo y positivismo que influenció la formación de las ideas nacionales argentinas. En contraposición al positivismo tradicional, Korn defiende los derechos de una ""realidad"" escapada al conocimiento científico, y su captura conduce inevitablemente a la metafísica, tanto necesaria como imposible. Es esta realidad la de la libertad creadora.",0.2608695652173913,0.17391304347826086,
¿dónde puedo encontrar libros de psicología?,¿dónde puedo encontrar libros de psicología?,"Los libros de psicología se encuentran en la sección E1, B - ESTE, FILA 1, IZQUIERDA.",estan en el estante mas alejado por la puerta al fondo de la biblioteca,0.1935483870967742,0.12903225806451615,
