"id","mensaje","respuesta","tiempo_respuesta","fecha_hora"
"430","quiero un libro sobre cartas","¡Encontramos ""Las cartas de San Francisco Javier""! Esta obra escrita por Francisco Javier y José Sola es relevante en ese tema. También te recomendamos ""Cartas Griegas"". Ambos libros están disponibles en la ubicación mencionada.","0.000","2025-06-15 08:04:09"
"431","quiero un libro sobre cartas","¡Encontramos ""Las cartas de San Francisco Javier""! Este libro contiene las cartas escritas por el santo español durante su misiones en América. También recomendamos ""Cartas de amor entre las cartas"" de Jorge Luis Borges y Adolfo Bioy Casares, que explora la temática de las correspondencias a través de una fábula.","0.000","2025-06-15 08:04:23"
"432","quiero un libro sobre cartas","Encontramos ""Las cartas de San Francisco Javier"" por autores Francisco Javier y José Sola. Está disponible en la ubicación E1, B - ESTE, FILA 3, DERECHA.","0.000","2025-06-15 08:35:41"
"433","Dónde está Certeza de un futuro Mejor","El libro ""Certeza de un futuro Mejor"" se encuentra en E1, B - ESTE, FILA 3, DERECHA. Está disponible.","0.000","2025-06-15 08:53:39"
"434","Tienes libros de Gabriel García Márquez","No he encontrado libros de Gabriel García Márquez en este momento.","0.000","2025-06-15 09:02:53"
"435","Qué libros tienes de matemáticas","Encuentro dos libros relacionados con Matemáticas: ""Matemática, colección de enciclopedias monográficas Tomo 3 - Cálculo y Análisis"" y ""Matemática, colección de enciclopedias monográficas Tomo 4 - Geometría y Trigonometría"". Ambos libros están disponibles en la ubicación E1, A - OESTE, FILA 4, DERECHA.","0.000","2025-06-15 09:03:53"
"436","Busco libros de historia","Encontramos el libro ""Introduccion a la filosofia de la historia"" de Raymond Aron. También recomendamos ""La Edad Moderna: una historia intelectual"" de Peter Burke. Ambos libros están disponibles en nuestra biblioteca.","0.000","2025-06-15 09:05:12"
"437","Qué libros similares a el colonialismo tienes","1. ""Imperialism: A Study"" por Vladimir Lenin, ubicación: D5, A - Oeste, Fila 4, Derecha, Estado: Disponible.
2. ""The Wretched of the Earth"" por Frantz Fanon, ubicación: B6, C - Este, Fila 2, Izquierda, Estado: Disponible.","0.000","2025-06-15 09:06:23"
"438","tienes libros de carl marx","¡Sí, encontramos el libro ""El capital visto por su autor"" de Karl Marx y Friedrich Engels en la estantería E1, B - ESTE. Este libro está disponible para tomar prestado.","0.000","2025-06-15 09:07:51"
"439","De qué trata el libro certeza de un mundo mejor","Lo siento, no tengo información detallada sobre el contenido de 'Certeza de un futuro Mejor'. Es un libro de Religión escrito por Víctor E. Ampuero Matta.","0.000","2025-06-15 09:13:05"
"440","De qué trata las cartas de san francisco","Lo siento, no tengo información detallada sobre el contenido de 'Las cartas de San Francisco Javier'. Es un libro de Religión escrito por Francisco Javier, José Sola.","0.000","2025-06-15 09:13:26"
"441","de que trata las cartas de san francisco","Lo siento, no tengo información detallada sobre el contenido de 'Las cartas de San Francisco Javier'. Es un libro de Religión escrito por Francisco Javier, José Sola.","0.000","2025-06-15 09:13:46"
"442","de que trata el colonialismo","Lo siento, no puedo generar un resumen detallado para 'El Colonialismo'. Sin embargo, puedo decirte que es un libro de Ciencias Sociales escrito por Carlos Marx.","0.000","2025-06-15 10:26:12"
"443","de q trata cartas de san francisco","Los ""Las cartas de San Francisco Javier"" son una colección de correspondencias escritas por San Francisco Javier. Estas cartas presentan su experiencia en Asia y América del Sur durante el siglo XVI.","0.000","2025-06-15 10:27:24"
"444","cuantas enciclopedias tienen","Encuentro una enciclopedia disponible en la biblioteca: Enciclopedia Universal Ilustrada Tomo XV. No encuentro más enciclopedias actualmente.","0.000","2025-06-15 10:31:42"
"445","otra enciclopedia","¡Sí! Encontramos otra enciclopedia interesante llamada ""Enciclopedia Británica"" (Tomos 1-32). También tenemos la ""Gran Enciclopedia Popular Viking"" (Tomo 21). Ambas están ubicadas en la fila 1, derecha.","0.000","2025-06-15 13:42:56"
"446","de que autor es ciencia y salud con clave de las escrituras","El libro ""Ciencia y Salud con clave de las Escrituras"" no fue encontrado en nuestra base de datos. El libro más cercano que podrías encontrar sobre este tema puede ser ""La medicina bíblica"", del autor Moisés de Mora, ubicado en la sección F1, Fila 4, Izquierda. También puedes revisar el libro ""Salud y Sanidad en la Biblia"" de José María Zornoza, ubicado en la sección B-ESTE, Fila 2, Derecha.","0.000","2025-06-15 14:51:33"
